"category","subcategory","title","file_name","extension","suffix","applications","visibility","keywords","first_comment","relative_path","source_path","size_bytes","line_count"
"File","","Open directory Global Library Path","Open directory Global Library Path.mcr","mcr","","","","","*File / Open directory Global Macro Path","File\Open directory Global Library Path.mcr","D:\CST\Library\Macros\File\Open directory Global Library Path.mcr","1550","43"
"File","","Registry Debug Flags","Registry Debug Flags.mcr","mcr","","","","Port;Solver","--------------------------------------------------------------------------------------------------------","File\Registry Debug Flags.mcr","D:\CST\Library\Macros\File\Registry Debug Flags.mcr","2493","62"
"File","","Save 0D or 1D-1DC data as permanent part of CST file","Save 0D or 1D-1DC data as permanent part of CST file^-DS.mcr","mcr","-DS","DS","hidden/internal","Boolean;Port;Result1D;Result1DComplex;ResultTree","#Language ""WWB-COM""","File\Save 0D or 1D-1DC data as permanent part of CST file^-DS.mcr","D:\CST\Library\Macros\File\Save 0D or 1D-1DC data as permanent part of CST file^-DS.mcr","38136","764"
"Matching Circuits","","GetOptenniLabDirectory","GetOptenniLabDirectory.exe","exe","","","","Arc;WCS","","Matching Circuits\GetOptenniLabDirectory.exe","D:\CST\Library\Macros\Matching Circuits\GetOptenniLabDirectory.exe","34552","111"
"Matching Circuits","","Launch BetaMatch","Launch BetaMatch^+MWS+DS.mcr","mcr","+MWS+DS","DS;MWS","menu-visible","Boolean;Port;S-Parameter","Launch BetaMatch from MWS and DS","Matching Circuits\Launch BetaMatch^+MWS+DS.mcr","D:\CST\Library\Macros\Matching Circuits\Launch BetaMatch^+MWS+DS.mcr","4234","102"
"Matching Circuits","","Launch Optenni Lab","Launch Optenni Lab^+DS.mcr","mcr","+DS","DS","menu-visible","Component;Export;Port;S-Parameter;Touchstone","Launch Optenni Lab","Matching Circuits\Launch Optenni Lab^+DS.mcr","D:\CST\Library\Macros\Matching Circuits\Launch Optenni Lab^+DS.mcr","5361","152"
"Matching Circuits","","Launch Optenni Lab","Launch Optenni Lab^+MWS.mcr","mcr","+MWS","MWS","menu-visible","Component;Export;Port;Result1D;ResultTree;S-Parameter;Touchstone","Launch Optenni Lab","Matching Circuits\Launch Optenni Lab^+MWS.mcr","D:\CST\Library\Macros\Matching Circuits\Launch Optenni Lab^+MWS.mcr","6871","173"
"Matching Circuits","","Match1","Match1.bmp","bmp","","","","","","Matching Circuits\Match1.bmp","D:\CST\Library\Macros\Matching Circuits\Match1.bmp","288054","98"
"Matching Circuits","","Match2","Match2.bmp","bmp","","","","","","Matching Circuits\Match2.bmp","D:\CST\Library\Macros\Matching Circuits\Match2.bmp","288054","102"
"Matching Circuits","","Match3","Match3.bmp","bmp","","","","","","Matching Circuits\Match3.bmp","D:\CST\Library\Macros\Matching Circuits\Match3.bmp","288054","94"
"Matching Circuits","","Match4","Match4.bmp","bmp","","","","","","Matching Circuits\Match4.bmp","D:\CST\Library\Macros\Matching Circuits\Match4.bmp","288054","106"
"Matching Circuits","","Match5","Match5.bmp","bmp","","","","","","Matching Circuits\Match5.bmp","D:\CST\Library\Macros\Matching Circuits\Match5.bmp","288054","105"
"Matching Circuits","","Match6","Match6.bmp","bmp","","","","","","Matching Circuits\Match6.bmp","D:\CST\Library\Macros\Matching Circuits\Match6.bmp","288054","100"
"Matching Circuits","","Match7","Match7.bmp","bmp","","","","","","Matching Circuits\Match7.bmp","D:\CST\Library\Macros\Matching Circuits\Match7.bmp","288054","102"
"Matching Circuits","","Match8","Match8.bmp","bmp","","","","","","Matching Circuits\Match8.bmp","D:\CST\Library\Macros\Matching Circuits\Match8.bmp","288054","103"
"Matching Circuits","","Mini Match","Mini Match^+MWS+DS.mcr","mcr","+MWS+DS","DS;MWS","menu-visible","Boolean;Port;Result1D;Result1DComplex;ResultTree;Solver;Touchstone","#Language ""WWB-COM""","Matching Circuits\Mini Match^+MWS+DS.mcr","D:\CST\Library\Macros\Matching Circuits\Mini Match^+MWS+DS.mcr","75394","2330"
